     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3900500 3010500  1  9  9   3.0 1019 264  5.9 6  4.3  92    0    0 293 -327  0
3900500 3010500  1  9 10   3.0 1019 260  6.6 5  4.3  91    0   28 287 -327  0
3900500 3010500  1  9 11   2.8 1019 244  7.8 6  4.2  91   38   71 284 -327  0
3900500 3010500  1  9 12   3.1 1019 245  8.5 5  4.3  93   41   95 281 -329  0
3900500 3010500  1  9 13   3.4 1018 232  9.0 7  4.4  92    1   81 286 -332  0
3900500 3010500  1  9 14   3.1 1017 227  8.7 6  4.4  93    0   54 292 -335  0
3900500 3010500  1  9 15   3.1 1016 227  9.5 7  4.4  93    0   40 296 -334  0
3900500 3010500  1  9 16   3.3 1015 221  9.9 8  4.4  93    3   28 310 -332  0
3900500 3010500  1  9 17   3.4 1013 215 10.2 8  4.5  93    0    1 319 -331  0
3900500 3010500  1  9 18   3.8 1011 217 11.1 8  4.6  93    0    0 324 -330  0
3900500 3010500  1  9 19   3.8 1009 224 13.0 7  4.6  92    0    0 322 -330  0
3900500 3010500  1  9 20   4.0 1007 220 13.4 8  4.6  92    0    0 325 -330  0
3900500 3010500  1  9 21   4.1 1005 222 13.6 8  4.7  92    0    0 333 -331  0
3900500 3010500  1  9 22   4.5 1003 226 13.1 8  4.8  92    0    0 335 -332  0
3900500 3010500  1  9 23   5.7 1000 242 14.8 8  5.0  91    0    0 337 -335  0
3900500 3010500  1  9 24   5.9  999 259 15.2 8  5.2  89    0    0 340 -338  0
3900500 3010500  1 10  1   4.9  998 278 14.1 5  4.7  84    0    0 321 -342  0
3900500 3010500  1 10  2   5.4  997 280 14.2 5  4.5  81    0    0 298 -345  0
3900500 3010500  1 10  3   4.0  995 271 14.8 6  4.5  83    0    0 303 -344  0
3900500 3010500  1 10  4   4.6  994 270 18.8 7  4.4  84    0    0 313 -341  0
3900500 3010500  1 10  5   5.7  992 297 23.5 4  4.7  83    0    0 300 -338  0
3900500 3010500  1 10  6   5.2  991 298 24.8 5  4.7  83    0    0 283 -338  0
3900500 3010500  1 10  7   5.6  992 301 24.6 6  4.5  80    0    0 294 -338  0
3900500 3010500  1 10  8   5.2  994 306 23.8 7  4.2  75    0    0 305 -337  0
3900500 3010500  1 10  9   4.7  995 313 23.1 7  3.9  71    0    0 307 -336  0
3900500 3010500  1 10 10   4.0  996 314 23.2 6  3.6  69    8   33 293 -335  0
3900500 3010500  1 10 11   4.2  997 313 23.1 4  3.4  66   14   61 267 -333  0
3900500 3010500  1 10 12   3.1  998 315 22.6 7  3.3  67    0   61 268 -332  0
3900500 3010500  1 10 13   3.4  999 320 20.9 6  3.3  69   21   93 278 -333  0
3900500 3010500  1 10 14   3.6  999 312 20.0 4  3.3  66   22   86 255 -332  0
3900500 3010500  1 10 15   3.1  999 310 18.0 3  3.4  70   29   61 235 -329  0
3900500 3010500  1 10 16   2.9 1000 305 17.2 4  3.5  74   12   29 242 -328  0
3900500 3010500  1 10 17   3.4 1000 303 15.7 5  3.4  70    0    2 257 -327  0
3900500 3010500  1 10 18   3.7 1000 299 17.7 3  3.4  68    0    0 253 -326  0
3900500 3010500  1 10 19   3.4  999 303 14.1 5  3.4  69    0    0 255 -323  0
3900500 3010500  1 10 20   2.2  999 302 10.3 4  3.6  76    0    0 261 -322  0
3900500 3010500  1 10 21   2.1  999 300  8.7 3  3.8  85    0    0 249 -321  0
3900500 3010500  1 10 22   2.2  998 287  7.6 5  3.8  85    0    0 255 -321  0
3900500 3010500  1 10 23   3.0  997 300  9.8 4  3.8  82    0    0 263 -321  0
3900500 3010500  1 10 24   2.1  996 296  8.5 5  3.8  82    0    0 265 -322  0
3900500 3010500  1 11  1   2.0  996 302 10.2 1  3.8  84    0    0 247 -322  0
3900500 3010500  1 11  2   1.9  996 297  9.9 0  3.7  84    0    0 215 -323  0
3900500 3010500  1 11  3   2.4  996 305 11.4 0  3.6  80    0    0 205 -323  0
3900500 3010500  1 11  4   2.8  996 310 11.6 2  3.6  77    0    0 214 -324  0
3900500 3010500  1 11  5   1.9  996 308 12.5 1  3.7  81    0    0 216 -324  0
3900500 3010500  1 11  6   3.1  996 313 12.3 1  3.8  83    0    0 210 -323  0
3900500 3010500  1 11  7   3.4  996 317 12.5 2  3.8  79    0    0 217 -323  0
3900500 3010500  1 11  8   3.4  997 321 13.6 3  3.8  77    0    0 225 -324  0
3900500 3010500  1 11  9   3.3  998 320 15.2 3  3.7  76    0    0 229 -325  0
3900500 3010500  1 11 10   3.5  999 322 14.3 2  3.8  77   19   31 225 -326  0
3900500 3010500  1 11 11   3.5  999 323 14.9 1  3.8  78  100   35 215 -327  0
3900500 3010500  1 11 12   3.7 1000 322 14.4 4  3.8  77   35   86 225 -329  0
3900500 3010500  1 11 13   4.0 1000 320 14.0 4  3.8  75   77   84 240 -332  0
3900500 3010500  1 11 14   3.6 1001 316 14.7 6  3.8  75   40   87 248 -333  0
3900500 3010500  1 11 15   3.1 1001 322 15.0 8  3.8  78    4   60 268 -333  0
3900500 3010500  1 11 16   3.5 1002 320 13.1 3  3.9  80    4   28 256 -332  0
3900500 3010500  1 11 17   3.0 1003 327 11.7 3  3.9  82    0    5 233 -331  0
3900500 3010500  1 11 18   2.8 1003 320 13.9 2  3.9  83    0    0 227 -330  0
3900500 3010500  1 11 19   3.1 1004 321 13.8 2  3.9  83    0    0 222 -331  0
3900500 3010500  1 11 20   3.1 1004 320 11.3 3  3.9  82    0    0 226 -331  0
3900500 3010500  1 11 21   3.1 1004 320 14.0 2  3.8  80    0    0 227 -332  0
3900500 3010500  1 11 22   3.0 1005 316 10.6 4  3.9  82    0    0 235 -334  0
3900500 3010500  1 11 23   3.4 1005 316 11.9 5  4.0  83    0    0 255 -335  0
3900500 3010500  1 11 24   3.3 1005 311 11.7 1  4.0  83    0    0 240 -336  0
3900500 3010500  1 12  1   3.4 1005 315 11.8 3  4.1  83    0    0 230 -335  0
3900500 3010500  1 12  2   3.0 1005 299  9.9 7  4.1  85    0    0 267 -333  0
3900500 3010500  1 12  3   2.1 1005 286  7.7 8  4.0  88    0    0 298 -332  0
3900500 3010500  1 12  4   2.4 1004 300  6.8 8  4.0  90    0    0 307 -330  0
3900500 3010500  1 12  5   1.7 1004  15  7.0 6  4.0  91    0    0 297 -326  0
3900500 3010500  1 12  6   1.5 1005  25  7.9 3  3.9  92    0    0 268 -323  0
3900500 3010500  1 12  7   1.2 1006  19 10.3 1  3.9  91    0    0 237 -320  0
3900500 3010500  1 12  8   0.8 1009   8 11.8 2  3.6  87    0    0 229 -320  0
